p_id,nationality,product_id,product_type,product_name,serviced_by,inclusions,service_description,visa_entry,visa_validity,visa_duration,min_no_of_hrs,max_no_of_hrs,airport,airport_code,arrival_terminal,departure_terminal,travel_type,city,country,supplier,rate_application,currency,adult_cost_price,adult_cost_tax,child_cost_price,child_cost_tax,group_size_min,group_size_max,group_price,group_price_tax,exceptions,booking_cut_off,time_zone,service_charge_adult,total,service_tax_adult,service_charge_child,service_tax_child,service_tax_applicable_on,sales_cut_off,cancellation_time,cancellation_charges,discount,discount_amount,output_price,sac,cgst,sgst,igst,vat,booking_type,is_active
•	Runway transfers in limousine from the private lounge to the aircraft",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,2,2,835,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
29,All,2,Departure,VIP Ultimate,,"•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	Runway transfers in limousine from the private lounge to the aircraft",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,3,3,870,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
30,All,2,Departure,VIP Ultimate,,"•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	Runway transfers in limousine from the private lounge to the aircraft",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,4,4,905,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
31,All,2,Departure,VIP Ultimate,,"•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	Runway transfers in limousine from the private lounge to the aircraft",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,5,5,940,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
32,All,2,Departure,VIP Ultimate,,"•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	Runway transfers in limousine from the private lounge to the aircraft",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,975,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
33,All,2,Arrival,VIP Fast Track,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Escort to the means of transport ",,,,,,,Orly,ORY,,,All,Paris,France,La Cociegerie,Group,Euro,120,,,,1,3,,,,24,+2 hrs,36,156,,,,,,,,,,,,,,,,Confirm,Y
